beer_name,beer_style,brewery,abv,rating,astringent,body,alcoholic,bitter,sweet,sour,salty,fruity,hoppy,spices,malty
Brown Ale,Brown Ale - English,Legend Brewing Co.,6%,3.83,24,118,12,82,138,33,0,25,80,9,24
Brewhouse Brown Ale,Brown Ale - English,Real Ale Brewing Company,5.4%,3.59,41,137,15,78,145,30,0,14,88,18,41
The Brown Note,Brown Ale - English,Against The Grain Brewery & Smokehouse,5%,3.8,28,106,11,70,82,8,0,10,75,10,28
Nut Brown Ale,Brown Ale - English,Ithaca Beer Company,5.4%,3.62,39,145,18,108,134,15,1,11,77,10,39
Pig's Ear Brown Ale,Brown Ale - English,Woodstock Inn Brewery,4.3%,3.58,24,99,12,75,102,30,0,20,78,8,24
Bar Harbor Real Ale,Brown Ale - English,Atlantic Brewing Company / Mainely Meat BBQ,5.2%,3.58,37,101,22,77,121,31,1,28,80,13,37
Nut Brown Ale,Brown Ale - English,Peak Organic Brewing Company,4.7%,3.48,32,132,17,91,108,23,2,16,102,13,32
Woodmaster,Brown Ale - English,Short's Brewing Company,9.9%,3.92,23,135,100,36,359,50,4,38,45,15,23
Bad Penny,Brown Ale - English,Big Boss Brewing,5.2%,3.61,28,142,18,72,133,23,0,25,53,4,28
Euforia,Brown Ale - English,DuClaw Brewing Company,5%,3.58,25,101,17,61,147,18,2,13,51,16,25
Brown Ale,Brown Ale - English,Upslope Brewing Company - Lee Hill,6.7%,3.94,36,141,26,142,136,20,1,18,112,12,36
Brunette Nut Brown Ale,Brown Ale - English,Nebraska Brewing Company Production Brewery & Tap Room,4.8%,3.54,28,91,6,44,103,16,1,13,62,1,28
Nut Brown Ale,Brown Ale - English,Santa Fe Brewing Company,5.2%,3.47,32,97,23,65,104,20,0,12,75,7,32
Brown Eyed Squirrel,Brown Ale - English,RJ Rockers Brewing Company,5.6%,3.6,35,106,14,78,126,40,0,31,76,11,35
Buster Nut Brown Ale,Brown Ale - English,Ska Brewing Co.,5.15%,3.48,39,124,12,65,135,28,3,22,63,6,39
